Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
INVERSIÓN,Fondo adaptación,623765525677.0,1315,13.0,Hacienda
DEUDA,Servicio de la deuda pública nacional,109828422000000.0,1401,14.0,Servicio de la deuda pública nacional
FUNCIONAMIENTO,Ministerio de defensa nacional,22171364000000.0,1501,15.0,Defensa y policía
DEUDA,Ministerio de defensa nacional,551476868334.0,1501,15.0,Defensa y policía
INVERSIÓN,Ministerio de defensa nacional,2099102953143.0,1501,15.0,Defensa y policía
FUNCIONAMIENTO,Caja de retiro de las fuerzas militares,7731579000000.0,1503,15.0,Defensa y policía
INVERSIÓN,Caja de retiro de las fuerzas militares,16480000000.0,1503,15.0,Defensa y policía
FUNCIONAMIENTO,Instituto casas fiscales del ejército,36841000000.0,1507,15.0,Defensa y policía
INVERSIÓN,Instituto casas fiscales del ejército,38200000000.0,1507,15.0,Defensa y policía
FUNCIONAMIENTO,"Defensa civil colombiana, guillermo león valencia",44705000000.0,1508,15.0,Defensa y policía
INVERSIÓN,"Defensa civil colombiana, guillermo león valencia",8000000000.0,1508,15.0,Defensa y policía
FUNCIONAMIENTO,Club militar de oficiales,55497000000.0,1510,15.0,Defensa y policía
INVERSIÓN,Club militar de oficiales,4578000000.0,1510,15.0,Defensa y policía
FUNCIONAMIENTO,Caja de sueldos de retiro de la policía nacional,7327127000000.0,1511,15.0,Defensa y policía
INVERSIÓN,Caja de sueldos de retiro de la policía nacional,9548000000.0,1511,15.0,Defensa y policía
FUNCIONAMIENTO,Fondo rotatorio de la policía,307162000000.0,1512,15.0,Defensa y policía
INVERSIÓN,Fondo rotatorio de la policía,5276235351.0,1512,15.0,Defensa y policía
FUNCIONAMIENTO,Superintendencia de vigilancia y seguridad privada,33484000000.0,1516,15.0,Defensa y policía
INVERSIÓN,Superintendencia de vigilancia y seguridad privada,4575000000.0,1516,15.0,Defensa y policía
FUNCIONAMIENTO,Hospital militar,519740000000.0,1519,15.0,Defensa y policía
INVERSIÓN,Hospital militar,46400000000.0,1519,15.0,Defensa y policía
FUNCIONAMIENTO,Agencia logística de las fuerzas militares,1074126000000.0,1520,15.0,Defensa y policía
INVERSIÓN,Agencia logística de las fuerzas militares,6500000000.0,1520,15.0,Defensa y policía
FUNCIONAMIENTO,Unidad administrativa especial de la justicia penal militar y policial,175754000000.0,1521,15.0,Defensa y policía
INVERSIÓN,Unidad administrativa especial de la justicia penal militar y policial,6227362144.0,1521,15.0,Defensa y policía
FUNCIONAMIENTO,Policía nacional,16568377000000.0,1601,15.0,Defensa y policía
INVERSIÓN,Policía nacional,238562549467.0,1601,15.0,Defensa y policía
FUNCIONAMIENTO,Ministerio de agricultura y desarrollo rural,436853554000.0,1701,17.0,Agricultura y desarrollo rural
INVERSIÓN,Ministerio de agricultura y desarrollo rural,1097072964088.0,1701,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Instituto colombiano agropecuario (ica),219595508000.0,1702,17.0,Agricultura y desarrollo rural
INVERSIÓN,Instituto colombiano agropecuario (ica),270668107733.0,1702,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Autoridad nacional de acuicultura y pesca - aunap,24417000000.0,1715,17.0,Agricultura y desarrollo rural
INVERSIÓN,Autoridad nacional de acuicultura y pesca - aunap,73520013996.0,1715,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Unidad administrativa especial de gestión de restitución de tierras despojadas,80608731000.0,1716,17.0,Agricultura y desarrollo rural
INVERSIÓN,Unidad administrativa especial de gestión de restitución de tierras despojadas,455420835664.0,1716,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Agencia nacional de tierras - ant,82539448000.0,1717,17.0,Agricultura y desarrollo rural
INVERSIÓN,Agencia nacional de tierras - ant,1570644076174.0,1717,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Agencia de desarrollo rural - adr,57526196000.0,1718,17.0,Agricultura y desarrollo rural
INVERSIÓN,Agencia de desarrollo rural - adr,656674002345.0,1718,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Ministerio de salud y protección social,63216256287273.0,1901,19.0,Salud y protección social
INVERSIÓN,Ministerio de salud y protección social,1886900174049.0,1901,19.0,Salud y protección social
FUNCIONAMIENTO,Instituto nacional de salud (ins),61080047000.0,1903,19.0,Salud y protección social
INVERSIÓN,Instituto nacional de salud (ins),62680604677.0,1903,19.0,Salud y protección social
FUNCIONAMIENTO,Superintendencia nacional de salud,239012900000.0,1910,19.0,Salud y protección social
INVERSIÓN,Superintendencia nacional de salud,87198844691.0,1910,19.0,Salud y protección social
FUNCIONAMIENTO,Instituto nacional de vigilancia de medicamentos y alimentos - invima,182243290000.0,1912,19.0,Salud y protección social
INVERSIÓN,Instituto nacional de vigilancia de medicamentos y alimentos - invima,60520761562.0,1912,19.0,Salud y protección social
FUNCIONAMIENTO,Fondo de previsión social del congreso,434073887000.0,1913,19.0,Salud y protección social
INVERSIÓN,Fondo de previsión social del congreso,500000000.0,1913,19.0,Salud y protección social
FUNCIONAMIENTO,Fondo pasivo social de ferrocarriles nacionales de colombia,842723447000.0,1914,19.0,Salud y protección social
INVERSIÓN,Fondo pasivo social de ferrocarriles nacionales de colombia,1900500000.0,1914,19.0,Salud y protección social
FUNCIONAMIENTO,Ministerio de minas y energía,213507113200.0,2101,21.0,Minas y energía
DEUDA,Ministerio de minas y energía,3459701281.0,2101,21.0,Minas y energía
INVERSIÓN,Ministerio de minas y energía,6651165204240.0,2101,21.0,Minas y energía
FUNCIONAMIENTO,Servicio geológico colombiano,77090638784.0,2103,21.0,Minas y energía
INVERSIÓN,Servicio geológico colombiano,100000000000.0,2103,21.0,Minas y energía
FUNCIONAMIENTO,Unidad de planeación minero energética - upme,37050677000.0,2109,21.0,Minas y energía
INVERSIÓN,Unidad de planeación minero energética - upme,28045831271.0,2109,21.0,Minas y energía
FUNCIONAMIENTO,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,27129264823.0,2110,21.0,Minas y energía
INVERSIÓN,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,137762840337.0,2110,21.0,Minas y energía
FUNCIONAMIENTO,Agencia nacional de hidrocarburos - anh,3064210361082.0,2111,21.0,Minas y energía
INVERSIÓN,Agencia nacional de hidrocarburos - anh,385890000000.0,2111,21.0,Minas y energía
FUNCIONAMIENTO,Agencia nacional de minería - anm,372516686000.0,2112,21.0,Minas y energía
INVERSIÓN,Agencia nacional de minería - anm,116615000000.0,2112,21.0,Minas y energía
FUNCIONAMIENTO,Ministerio de educación nacional,64660612334782.0,2201,22.0,Educación
INVERSIÓN,Ministerio de educación nacional,5722845061826.0,2201,22.0,Educación
FUNCIONAMIENTO,Escuela tecnológica instituto técnico central,49826078281.0,2234,22.0,Educación
INVERSIÓN,Escuela tecnológica instituto técnico central,19207038725.0,2234,22.0,Educación
FUNCIONAMIENTO,Instituto nacional de formación técnica profesional de san andrés y providencia,8747852389.0,2238,22.0,Educación
INVERSIÓN,Instituto nacional de formación técnica profesional de san andrés y providencia,8217481969.0,2238,22.0,Educación
FUNCIONAMIENTO,Instituto nacional de formación técnica profesional de san juan del cesar,11137346365.0,2239,22.0,Educación
INVERSIÓN,Instituto nacional de formación técnica profesional de san juan del cesar,9388000000.0,2239,22.0,Educación
FUNCIONAMIENTO,Instituto tolimense de formación técnica profesional,30444508468.0,2241,22.0,Educación
INVERSIÓN,Instituto tolimense de formación técnica profesional,8184071470.0,2241,22.0,Educación
FUNCIONAMIENTO,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",15041341108.0,2242,22.0,Educación
INVERSIÓN,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",12125395223.0,2242,22.0,Educación
FUNCIONAMIENTO,Unidad administrativa especial de alimentación escolar,16318707345.0,2246,22.0,Educación
INVERSIÓN,Unidad administrativa especial de alimentación escolar,2105728519128.0,2246,22.0,Educación
FUNCIONAMIENTO,Entes autónomos universitarios estatales - universidades públicas,6437590659064.0,2257,22.0,Educación
INVERSIÓN,Entes autónomos universitarios estatales - universidades públicas,127332668286.0,2257,22.0,Educación
FUNCIONAMIENTO,Ministerio de tecnologías de la información y las comunicaciones,127996875000.0,2301,23.0,Tecnologías de la información y las comunicaciones
FUNCIONAMIENTO,Fondo único de tecnologías de la información y las comunicaciones,599534016000.0,2306,23.0,Tecnologías de la información y las comunicaciones
INVERSIÓN,Fondo único de tecnologías de la información y las comunicaciones,1551973115714.0,2306,23.0,Tecnologías de la información y las comunicaciones
FUNCIONAMIENTO,Unidad administrativa especial comisión de regulación de comunicaciones,38833930000.0,2308,23.0,Tecnologías de la información y las comunicaciones
INVERSIÓN,Unidad administrativa especial comisión de regulación de comunicaciones,18016917000.0,2308,23.0,Tecnologías de la información y las comunicaciones
FUNCIONAMIENTO,Agencia nacional del espectro - ane,22024741401.0,2309,23.0,Tecnologías de la información y las comunicaciones
INVERSIÓN,Agencia nacional del espectro - ane,27314426599.0,2309,23.0,Tecnologías de la información y las comunicaciones
