Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
INVERSIÓN,Unidad administrativa especial del servicio público de empleo,17000000000.0,3613,36.0,Trabajo
FUNCIONAMIENTO,Ministerio del interior,1111333500000.0,3701,37.0,Interior
INVERSIÓN,Ministerio del interior,397622826322.0,3701,37.0,Interior
FUNCIONAMIENTO,Dirección nacional del derecho de autor,7837900000.0,3703,37.0,Interior
INVERSIÓN,Dirección nacional del derecho de autor,841000000.0,3703,37.0,Interior
FUNCIONAMIENTO,Corporación nacional para la reconstrucción de la cuenca del río páez y zonas aledañas nasa ki we,4959010000.0,3704,37.0,Interior
INVERSIÓN,Corporación nacional para la reconstrucción de la cuenca del río páez y zonas aledañas nasa ki we,10056384633.0,3704,37.0,Interior
FUNCIONAMIENTO,Unidad nacional de protección - unp,2681558502000.0,3708,37.0,Interior
DEUDA,Unidad nacional de protección - unp,7809482693.0,3708,37.0,Interior
INVERSIÓN,Unidad nacional de protección - unp,3000000000.0,3708,37.0,Interior
FUNCIONAMIENTO,Dirección nacional de bomberos,15484100000.0,3709,37.0,Interior
INVERSIÓN,Dirección nacional de bomberos,71906000000.0,3709,37.0,Interior
FUNCIONAMIENTO,Comisión nacional del servicio civil,36967864777.0,3801,5.0,Empleo público
INVERSIÓN,Comisión nacional del servicio civil,109930103096.0,3801,5.0,Empleo público
FUNCIONAMIENTO,"Ministerio de ciencia, tecnología e innovación",32876734000.0,3901,39.0,"Ciencia, tecnología e innovación"
INVERSIÓN,"Ministerio de ciencia, tecnología e innovación",266987639124.0,3901,39.0,"Ciencia, tecnología e innovación"
FUNCIONAMIENTO,"Ministerio de vivienda, ciudad y territorio",4343076194403.0,4001,40.0,"Vivienda, ciudad y territorio"
INVERSIÓN,"Ministerio de vivienda, ciudad y territorio",1614293994900.0,4001,40.0,"Vivienda, ciudad y territorio"
FUNCIONAMIENTO,Fondo nacional de vivienda - fonvivienda,8800000000.0,4002,40.0,"Vivienda, ciudad y territorio"
INVERSIÓN,Fondo nacional de vivienda - fonvivienda,2659636589387.0,4002,40.0,"Vivienda, ciudad y territorio"
FUNCIONAMIENTO,Departamento administrativo para la prosperidad social,262123929351.0,4101,41.0,Inclusión social y reconciliación
INVERSIÓN,Departamento administrativo para la prosperidad social,5399606566879.0,4101,41.0,Inclusión social y reconciliación
FUNCIONAMIENTO,Unidad de atención y reparación integral a las víctimas,1822309711324.0,4104,41.0,Inclusión social y reconciliación
INVERSIÓN,Unidad de atención y reparación integral a las víctimas,2488667165115.0,4104,41.0,Inclusión social y reconciliación
FUNCIONAMIENTO,Centro de memoria histórica,18503458353.0,4105,41.0,Inclusión social y reconciliación
INVERSIÓN,Centro de memoria histórica,60905600185.0,4105,41.0,Inclusión social y reconciliación
FUNCIONAMIENTO,Departamento administrativo dirección nacional de inteligencia,155589000000.0,4201,42.0,Inteligencia
INVERSIÓN,Departamento administrativo dirección nacional de inteligencia,38231000000.0,4201,42.0,Inteligencia
FUNCIONAMIENTO,Ministerio del deporte,64365817578.0,4301,43.0,Deporte y recreación
INVERSIÓN,Ministerio del deporte,400000000000.0,4301,43.0,Deporte y recreación
FUNCIONAMIENTO,Jurisdicción especial para la paz,547711000000.0,4401,44.0,"Sistema integral de verdad, justicia, reparación y no repetición"
INVERSIÓN,Jurisdicción especial para la paz,189521300973.0,4401,44.0,"Sistema integral de verdad, justicia, reparación y no repetición"
FUNCIONAMIENTO,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),117569000000.0,4403,44.0,"Sistema integral de verdad, justicia, reparación y no repetición"
INVERSIÓN,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),76273000000.0,4403,44.0,"Sistema integral de verdad, justicia, reparación y no repetición"
FUNCIONAMIENTO,Ministerio de igualdad y equidad,798523000000.0,4601,46.0,Igualdad y equidad
INVERSIÓN,Ministerio de igualdad y equidad,498912000000.0,4601,46.0,Igualdad y equidad
FUNCIONAMIENTO,Instituto colombiano de bienestar familiar (icbf),1151138129543.0,4602,46.0,Igualdad y equidad
INVERSIÓN,Instituto colombiano de bienestar familiar (icbf),9539621582782.0,4602,46.0,Igualdad y equidad
FUNCIONAMIENTO,Instituto nacional para sordos (insor),8852229359.0,4603,46.0,Igualdad y equidad
INVERSIÓN,Instituto nacional para sordos (insor),8358622693.0,4603,46.0,Igualdad y equidad
FUNCIONAMIENTO,Instituto nacional para ciegos (inci),8306001653.0,4604,46.0,Igualdad y equidad
INVERSIÓN,Instituto nacional para ciegos (inci),3764015576.0,4604,46.0,Igualdad y equidad
