Año,Sector,Código de sector,Entidad,Código de entidad,Apropiación a precios corrientes,Tipo de gasto,Indice_base_2025,Apropiación a precios constantes (2025)
2013,Justicia y el derecho,12.0,Unidad de servicios penitenciarios y carcelarios - uspec,1211,381636487014.0,Funcionamiento,53.46505625304829,713805453056.53
2013,Justicia y el derecho,12.0,Unidad de servicios penitenciarios y carcelarios - uspec,1211,124900515028.0,Inversión,53.46505625304829,233611490908.8473
2013,Hacienda,13.0,Ministerio de hacienda y crédito público,1301,10196721395655.0,Funcionamiento,53.46505625304829,19071749120386.715
2013,Hacienda,13.0,Ministerio de hacienda y crédito público,1301,1281520325472.0,Inversión,53.46505625304829,2396930659544.447
2013,Hacienda,13.0,Unidad administrativa especial contaduría general de la nación,1308,9968562438.0,Funcionamiento,53.46505625304829,18645005049.315075
2013,Hacienda,13.0,Unidad administrativa especial contaduría general de la nación,1308,8925290168.0,Inversión,53.46505625304829,16693688912.917074
2013,Hacienda,13.0,Superintendencia de la economía solidaria,1309,8003640406.0,Funcionamiento,53.46505625304829,14969853146.920938
2013,Hacienda,13.0,Superintendencia de la economía solidaria,1309,4041000000.0,Inversión,53.46505625304829,7558207702.754644
2013,Hacienda,13.0,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,1003604100000.0,Funcionamiento,53.46505625304829,1877121563755.5415
2013,Hacienda,13.0,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,393499045796.0,Inversión,53.46505625304829,735992951982.6603
2013,Hacienda,13.0,Unidad de información y análisis financiero,1312,6676112721.0,Funcionamiento,53.46505625304829,12486871218.094648
2013,Hacienda,13.0,Superintendencia financiera de colombia,1313,165774000000.0,Funcionamiento,53.46505625304829,310060461201.79376
2013,Hacienda,13.0,Superintendencia financiera de colombia,1313,14897359000.0,Inversión,53.46505625304829,27863730152.066624
2013,Hacienda,13.0,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,167013000000.0,Funcionamiento,53.46505625304829,312377862672.64575
2013,Hacienda,13.0,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,6450000000.0,Inversión,53.46505625304829,12063954388.212685
2013,Hacienda,13.0,Fondo adaptación,1315,20643000000.0,Funcionamiento,53.46505625304829,38610265183.85651
2013,Hacienda,13.0,Fondo adaptación,1315,1860000000000.0,Inversión,53.46505625304829,3478907777065.9834
2013,Servicio de la deuda pública nacional,14.0,Servicio de la deuda pública nacional,1401,45109198935564.0,Deuda,53.46505625304829,84371367201156.02
2013,Defensa y policía,15.0,Ministerio de defensa nacional,1501,10273024534968.0,Funcionamiento,53.46505625304829,19214465026177.332
2013,Defensa y policía,15.0,Ministerio de defensa nacional,1501,2372393000000.0,Inversión,53.46505625304829,4437277665568.226
2013,Defensa y policía,15.0,Caja de retiro de las fuerzas militares,1503,1755362257450.0,Funcionamiento,53.46505625304829,3283195381188.659
2013,Defensa y policía,15.0,Caja de retiro de las fuerzas militares,1503,9040000000.0,Inversión,53.46505625304829,16908239948.750801
2013,Defensa y policía,15.0,Instituto casas fiscales del ejército,1507,20903385000.0,Funcionamiento,53.46505625304829,39097284216.93787
2013,Defensa y policía,15.0,Instituto casas fiscales del ejército,1507,48316000000.0,Inversión,53.46505625304829,90369305460.60219
2013,Defensa y policía,15.0,"Defensa civil colombiana, guillermo león valencia",1508,22393573000.0,Funcionamiento,53.46505625304829,41884502831.180016
2013,Defensa y policía,15.0,"Defensa civil colombiana, guillermo león valencia",1508,1707000000.0,Inversión,53.46505625304829,3192739556.694427
2013,Defensa y policía,15.0,Club militar de oficiales,1510,36746653072.0,Funcionamiento,53.46505625304829,68730224275.98195
2013,Defensa y policía,15.0,Caja de sueldos de retiro de la policía nacional,1511,2161155900000.0,Funcionamiento,53.46505625304829,4042183907506.47
2013,Defensa y policía,15.0,Caja de sueldos de retiro de la policía nacional,1511,1950000000.0,Inversión,53.46505625304829,3647242024.34337
2013,Defensa y policía,15.0,Fondo rotatorio de la policía,1512,313287000000.0,Funcionamiento,53.46505625304829,585965903631.0057
2013,Defensa y policía,15.0,Fondo rotatorio de la policía,1512,8000000000.0,Inversión,53.46505625304829,14963044202.434338
2013,Defensa y policía,15.0,Superintendencia de vigilancia y seguridad privada,1516,10150100000.0,Funcionamiento,53.46505625304829,18984549369.891098
2013,Defensa y policía,15.0,Superintendencia de vigilancia y seguridad privada,1516,500000000.0,Inversión,53.46505625304829,935190262.6521461
2013,Defensa y policía,15.0,Hospital militar,1519,205925008000.0,Funcionamiento,53.46505625304829,385158124636.33057
2013,Defensa y policía,15.0,Hospital militar,1519,9197000000.0,Inversión,53.46505625304829,17201889691.223576
2013,Defensa y policía,15.0,Agencia logística de las fuerzas militares,1520,952944357669.0,Funcionamiento,53.46505625304829,1782368568282.7056
2013,Defensa y policía,15.0,Agencia logística de las fuerzas militares,1520,25800000000.0,Inversión,53.46505625304829,48255817552.85074
2013,Defensa y policía,15.0,Policía nacional,1601,6908123036777.0,Funcionamiento,53.46505625304829,12920818794393.648
2013,Defensa y policía,15.0,Policía nacional,1601,432087000000.0,Inversión,53.46505625304829,808167110037.1558
2013,Agricultura y desarrollo rural,17.0,Ministerio de agricultura y desarrollo rural,1701,180864126000.0,Funcionamiento,53.46505625304829,338284738996.5817
2013,Agricultura y desarrollo rural,17.0,Ministerio de agricultura y desarrollo rural,1701,1408671305470.0,Inversión,53.46505625304829,2634751376306.0615
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano agropecuario (ica),1702,93744772000.0,Funcionamiento,53.46505625304829,175338395897.8911
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano agropecuario (ica),1702,238960000.0,Deuda,53.46505625304829,446946130.3267137
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano agropecuario (ica),1702,169449000000.0,Inversión,53.46505625304829,316934109632.287
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,50969057000.0,Funcionamiento,53.46505625304829,95331531605.92441
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,51000000.0,Deuda,53.46505625304829,95389406.79051891
2013,Agricultura y desarrollo rural,17.0,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,446764000000.0,Inversión,53.46505625304829,835618685007.0468
2013,Agricultura y desarrollo rural,17.0,Autoridad nacional de acuicultura y pesca - aunap,1715,10066545000.0,Funcionamiento,53.46505625304829,18828269725.099297
2013,Agricultura y desarrollo rural,17.0,Autoridad nacional de acuicultura y pesca - aunap,1715,9869707320.0,Inversión,53.46505625304829,18460108361.78122
2013,Agricultura y desarrollo rural,17.0,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,48835000000.0,Funcionamiento,53.46505625304829,91340032953.2351
2013,Agricultura y desarrollo rural,17.0,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,202918632770.0,Inversión,53.46505625304829,379535058954.38135
2013,Salud y protección social,19.0,Ministerio de salud y protección social,1901,6976310393341.0,Funcionamiento,53.46505625304829,13048355098182.934
2013,Salud y protección social,19.0,Ministerio de salud y protección social,1901,3508640585375.0,Inversión,53.46505625304829,6562493021177.651
2013,Salud y protección social,19.0,Instituto nacional de salud (ins),1903,29997173076.0,Funcionamiento,53.46505625304829,56106128335.53265
2013,Salud y protección social,19.0,Instituto nacional de salud (ins),1903,37395759708.0,Inversión,53.46505625304829,69944300686.80212
2013,Salud y protección social,19.0,Superintendencia nacional de salud,1910,72544600000.0,Funcionamiento,53.46505625304829,135686007055.98976
2013,Salud y protección social,19.0,Superintendencia nacional de salud,1910,31623727546.0,Inversión,53.46505625304829,59148404139.5673
2013,Salud y protección social,19.0,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,97653500000.0,Funcionamiento,53.46505625304829,182649204627.8027
2013,Salud y protección social,19.0,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,59990871333.0,Inversión,53.46505625304829,112205757437.27875
2013,Salud y protección social,19.0,Fondo de previsión social del congreso,1913,318542901000.0,Funcionamiento,53.46505625304829,595796438504.3331
2013,Salud y protección social,19.0,Fondo de previsión social del congreso,1913,636600000.0,Inversión,53.46505625304829,1190684242.4087124
2013,Salud y protección social,19.0,Fondo pasivo social de ferrocarriles nacionales de colombia,1914,416498052456.0,Funcionamiento,53.46505625304829,779009846140.8679
2013,Salud y protección social,19.0,Unidad administrativa especial comisión de regulación en salud - cres,1915,10484091000.0,Funcionamiento,53.46505625304829,19609239631.918003
2013,Salud y protección social,19.0,Unidad administrativa especial comisión de regulación en salud - cres,1915,6945000000.0,Inversión,53.46505625304829,12989792748.23831
2013,Minas y energía,21.0,Ministerio de minas y energía,2101,59648400000.0,Funcionamiento,53.46505625304829,111565205725.56055
2013,Minas y energía,21.0,Ministerio de minas y energía,2101,2596610450000.0,Inversión,53.46505625304829,4856649617481.614
2013,Minas y energía,21.0,Servicio geológico colombiano,2103,36702300000.0,Funcionamiento,53.46505625304829,68647267153.875725
2013,Minas y energía,21.0,Servicio geológico colombiano,2103,133653400000.0,Inversión,53.46505625304829,249982716500.70468
2013,Minas y energía,21.0,Unidad de planeación minero energética - upme,2109,10952601000.0,Funcionamiento,53.46505625304829,20485531611.828316
2013,Minas y energía,21.0,Unidad de planeación minero energética - upme,2109,30742260000.0,Inversión,53.46505625304829,57499724407.84113
2013,Minas y energía,21.0,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,22400200000.0,Funcionamiento,53.46505625304829,41896897842.9212
2013,Minas y energía,21.0,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,36668600000.0,Inversión,53.46505625304829,68584235330.172966
2013,Minas y energía,21.0,Agencia nacional de hidrocarburos - anh,2111,251008863000.0,Funcionamiento,53.46505625304829,469482089033.97314
2013,Minas y energía,21.0,Agencia nacional de hidrocarburos - anh,2111,313820000000.0,Inversión,53.46505625304829,586962816450.993
2013,Minas y energía,21.0,Agencia nacional de minería - anm,2112,62949500000.0,Funcionamiento,53.46505625304829,117739518877.64255
2013,Minas y energía,21.0,Agencia nacional de minería - anm,2112,16408700000.0,Inversión,53.46505625304829,30690512925.56054
2013,Educación,22.0,Ministerio de educación nacional,2201,23403735052458.0,Funcionamiento,53.46505625304829,43773890261498.87
2013,Educación,22.0,Ministerio de educación nacional,2201,1496076676026.0,Inversión,53.46505625304829,2798232679201.0093
2013,Igualdad y equidad,46.0,Instituto nacional para sordos (insor),4603,3557826459.0,Funcionamiento,53.46505625304829,6654489321.32593
2013,Igualdad y equidad,46.0,Instituto nacional para sordos (insor),4603,8259472410.0,Inversión,53.46505625304829,15448356344.952108
2013,Igualdad y equidad,46.0,Instituto nacional para ciegos (inci),4604,3676117399.0,Funcionamiento,53.46505625304829,6875738391.821868
2013,Igualdad y equidad,46.0,Instituto nacional para ciegos (inci),4604,1543562139.0,Inversión,53.46505625304829,2887048564.382637
2013,Educación,22.0,Escuela tecnológica instituto técnico central,2234,12710813248.0,Funcionamiento,53.46505625304829,23774057559.838997
2013,Educación,22.0,Escuela tecnológica instituto técnico central,2234,4069792971.0,Inversión,53.46505625304829,7612061514.978696
2013,Educación,22.0,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,2588567943.0,Funcionamiento,53.46505625304829,4841607069.014192
2013,Educación,22.0,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,786950000.0,Inversión,53.46505625304829,1471895954.3882127
2013,Educación,22.0,Instituto nacional de formación técnica profesional de san juan del cesar,2239,3265827018.0,Funcionamiento,53.46505625304829,6108339253.47979
2013,Educación,22.0,Instituto nacional de formación técnica profesional de san juan del cesar,2239,1698315701.0,Inversión,53.46505625304829,3176496612.9689074
2013,Educación,22.0,Instituto tolimense de formación técnica profesional,2241,9748127797.0,Funcionamiento,53.46505625304829,18232708389.686234
2013,Educación,22.0,Instituto tolimense de formación técnica profesional,2241,600740000.0,Inversión,53.46505625304829,1123612396.7713006
2013,Educación,22.0,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,4157198202.0,Funcionamiento,53.46505625304829,7775542556.85082
2013,Educación,22.0,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,287116568.0,Inversión,53.46505625304829,537017237.2794056
